"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_aw-only_last_state"
"11/19/2021 12:18:43:228 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"380","1","0.5","0.1","1","0.3","1","1000","954"
"362","1","0.9","1","1","0.2","1","1000","9949"
"376","1","0.1","0.1","1","0.3","1","1000","740"
"378","1","0.3","0.1","1","0.3","1","1000","900"
"379","1","0.4","0.1","1","0.3","1","1000","846"
"387","1","0.1","0.2","1","0.3","1","1000","769"
"382","1","0.7","0.1","1","0.3","1","1000","1231"
"381","1","0.6","0.1","1","0.3","1","1000","1115"
"383","1","0.8","0.1","1","0.3","1","1000","1596"
"384","1","0.9","0.1","1","0.3","1","1000","2612"
"388","1","0.2","0.2","1","0.3","1","1000","888"
"374","1","1","0","1","0.3","1","1000","9987"
"391","1","0.5","0.2","1","0.3","1","1000","1148"
"389","1","0.3","0.2","1","0.3","1","1000","923"
"400","1","0.3","0.3","1","0.3","1","1000","1061"
"390","1","0.4","0.2","1","0.3","1","1000","982"
"392","1","0.6","0.2","1","0.3","1","1000","1327"
"393","1","0.7","0.2","1","0.3","1","1000","1777"
"399","1","0.2","0.3","1","0.3","1","1000","1012"
"401","1","0.4","0.3","1","0.3","1","1000","1141"
"398","1","0.1","0.3","1","0.3","1","1000","860"
"397","1","0","0.3","1","0.3","1","1000","760"
"394","1","0.8","0.2","1","0.3","1","1000","2427"
"385","1","1","0.1","1","0.3","1","1000","9988"
"402","1","0.5","0.3","1","0.3","1","1000","1429"
"403","1","0.6","0.3","1","0.3","1","1000","1656"
"408","1","0","0.4","1","0.3","1","1000","756"
"404","1","0.7","0.3","1","0.3","1","1000","2029"
"405","1","0.8","0.3","1","0.3","1","1000","3092"
"395","1","0.9","0.2","1","0.3","1","1000","4630"
"410","1","0.2","0.4","1","0.3","1","1000","996"
"409","1","0.1","0.4","1","0.3","1","1000","792"
"411","1","0.3","0.4","1","0.3","1","1000","1047"
"396","1","1","0.2","1","0.3","1","1000","9976"
"413","1","0.5","0.4","1","0.3","1","1000","1614"
"414","1","0.6","0.4","1","0.3","1","1000","2015"
"419","1","0","0.5","1","0.3","1","1000","727"
"412","1","0.4","0.4","1","0.3","1","1000","1202"
"406","1","0.9","0.3","1","0.3","1","1000","5940"
"435","1","0.5","0.6","1","0.3","1","1000","1846"
"422","1","0.3","0.5","1","0.3","1","1000","1148"
"415","1","0.7","0.4","1","0.3","1","1000","2634"
"421","1","0.2","0.5","1","0.3","1","1000","939"
"420","1","0.1","0.5","1","0.3","1","1000","920"
"407","1","1","0.3","1","0.3","1","1000","9988"
"424","1","0.5","0.5","1","0.3","1","1000","1761"
"425","1","0.6","0.5","1","0.3","1","1000","2399"
"423","1","0.4","0.5","1","0.3","1","1000","1461"
"416","1","0.8","0.4","1","0.3","1","1000","3916"
"430","1","0","0.6","1","0.3","1","1000","748"
"426","1","0.7","0.5","1","0.3","1","1000","3336"
"427","1","0.8","0.5","1","0.3","1","1000","4686"
"431","1","0.1","0.6","1","0.3","1","1000","900"
"417","1","0.9","0.4","1","0.3","1","1000","7967"
"432","1","0.2","0.6","1","0.3","1","1000","1059"
"433","1","0.3","0.6","1","0.3","1","1000","1299"
"418","1","1","0.4","1","0.3","1","1000","9966"
"442","1","0.1","0.7","1","0.3","1","1000","889"
"437","1","0.7","0.6","1","0.3","1","1000","3855"
"434","1","0.4","0.6","1","0.3","1","1000","1569"
"436","1","0.6","0.6","1","0.3","1","1000","2427"
"441","1","0","0.7","1","0.3","1","1000","817"
"443","1","0.2","0.7","1","0.3","1","1000","1083"
"428","1","0.9","0.5","1","0.3","1","1000","8452"
"446","1","0.5","0.7","1","0.3","1","1000","2205"
"444","1","0.3","0.7","1","0.3","1","1000","1345"
"429","1","1","0.5","1","0.3","1","1000","9942"
"445","1","0.4","0.7","1","0.3","1","1000","1637"
"449","1","0.8","0.7","1","0.3","1","1000","5812"
"453","1","0.1","0.8","1","0.3","1","1000","839"
"438","1","0.8","0.6","1","0.3","1","1000","9983"
"440","1","1","0.6","1","0.3","1","1000","9979"
"439","1","0.9","0.6","1","0.3","1","1000","8255"
"447","1","0.6","0.7","1","0.3","1","1000","2868"
"460","1","0.8","0.8","1","0.3","1","1000","6751"
"454","1","0.2","0.8","1","0.3","1","1000","1118"
"448","1","0.7","0.7","1","0.3","1","1000","4199"
"452","1","0","0.8","1","0.3","1","1000","733"
"464","1","0.1","0.9","1","0.3","1","1000","931"
"470","1","0.7","0.9","1","0.3","1","1000","5149"
"455","1","0.3","0.8","1","0.3","1","1000","1601"
"456","1","0.4","0.8","1","0.3","1","1000","1792"
"457","1","0.5","0.8","1","0.3","1","1000","2311"
"463","1","0","0.9","1","0.3","1","1000","695"
"459","1","0.7","0.8","1","0.3","1","1000","4755"
"466","1","0.3","0.9","1","0.3","1","1000","1466"
"458","1","0.6","0.8","1","0.3","1","1000","3148"
"465","1","0.2","0.9","1","0.3","1","1000","1265"
"450","1","0.9","0.7","1","0.3","1","1000","9810"
"467","1","0.4","0.9","1","0.3","1","1000","1887"
"451","1","1","0.7","1","0.3","1","1000","9985"
"487","1","0.2","0","1","0.4","1","1000","564"
"474","1","0","1","1","0.3","1","1000","818"
"469","1","0.6","0.9","1","0.3","1","1000","3643"
"468","1","0.5","0.9","1","0.3","1","1000","2574"
"476","1","0.2","1","1","0.3","1","1000","1292"
"475","1","0.1","1","1","0.3","1","1000","940"
"461","1","0.9","0.8","1","0.3","1","1000","9922"
